Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,USA,USA,US,330.71,390.52,46.33,21.74,
2023-01-02 00:00:00,USA,USA,US,333.48,394.87,45.21,21.53,
2023-01-03 00:00:00,USA,USA,US,326.35,387.65,45.79,23.38,
2023-01-04 00:00:00,USA,USA,US,329.89,392.64,44.47,22.24,
2023-01-05 00:00:00,USA,USA,US,337.33,402.63,42.28,20.74,
2023-01-06 00:00:00,USA,USA,US,,,,,Data is not complete enough to be published.
2023-01-07 00:00:00,USA,USA,US,349.19,415.32,41.19,19.82,
2023-01-08 00:00:00,USA,USA,US,,,,,Data is not complete enough to be published.
2023-01-09 00:00:00,USA,USA,US,327.81,391.42,44.50,23.28,
2023-01-10 00:00:00,USA,USA,US,348.99,413.88,42.13,21.55,
2023-01-11 00:00:00,USA,USA,US,351.14,415.34,42.32,21.50,
2023-01-12 00:00:00,USA,USA,US,,,,,Data is not complete enough to be published.
2023-01-13 00:00:00,USA,USA,US,358.79,425.42,39.87,19.06,
2023-01-14 00:00:00,USA,USA,US,335.93,399.63,43.73,23.41,
2023-01-15 00:00:00,USA,USA,US,319.58,380.69,46.61,26.15,
2023-01-16 00:00:00,USA,USA,US,325.91,388.21,45.31,24.87,
2023-01-17 00:00:00,USA,USA,US,346.04,410.33,42.34,21.28,
2023-01-18 00:00:00,USA,USA,US,339.27,401.37,44.49,23.04,
2023-01-19 00:00:00,USA,USA,US,325.17,386.58,45.81,24.27,
2023-01-20 00:00:00,USA,USA,US,344.09,409.02,42.09,20.99,
2023-01-21 00:00:00,USA,USA,US,,,,,Data is not complete enough to be published.
2023-01-22 00:00:00,USA,USA,US,355.95,422.97,40.06,18.41,
2023-01-23 00:00:00,USA,USA,US,353.68,419.88,40.70,20.31,
2023-01-24 00:00:00,USA,USA,US,363.65,430.53,39.51,19.75,
2023-01-25 00:00:00,USA,USA,US,,,,,Data is not complete enough to be published.
2023-01-26 00:00:00,USA,USA,US,,,,,Data is not complete enough to be published.
2023-01-27 00:00:00,USA,USA,US,326.18,388.25,45.44,25.70,
2023-01-28 00:00:00,USA,USA,US,325.06,385.50,46.58,25.55,
2023-01-29 00:00:00,USA,USA,US,330.08,390.73,46.05,24.48,
2023-01-30 00:00:00,USA,USA,US,377.87,445.53,37.84,17.99,
2023-01-31 00:00:00,USA,USA,US,,,,,Data is not complete enough to be published.
2023-02-01 00:00:00,USA,USA,US,396.85,467.95,34.25,15.93,
2023-02-02 00:00:00,USA,USA,US,379.33,448.97,36.65,18.39,
2023-02-03 00:00:00,USA,USA,US,378.32,447.60,37.51,19.18,
2023-02-04 00:00:00,USA,USA,US,345.21,411.23,42.92,24.28,
2023-02-05 00:00:00,USA,USA,US,333.28,396.97,44.18,23.15,
2023-02-06 00:00:00,USA,USA,US,301.02,359.52,49.70,28.62,
2023-02-07 00:00:00,USA,USA,US,301.07,360.76,48.81,27.86,
2023-02-08 00:00:00,USA,USA,US,330.79,395.00,43.58,22.23,
2023-02-09 00:00:00,USA,USA,US,,,,,Data is not complete enough to be published.
2023-02-10 00:00:00,USA,USA,US,302.39,363.46,47.66,26.33,
2023-02-11 00:00:00,USA,USA,US,,,,,Data is not complete enough to be published.
2023-02-12 00:00:00,USA,USA,US,311.24,375.27,45.15,23.50,
2023-02-13 00:00:00,USA,USA,US,310.86,374.22,45.62,24.56,
2023-02-14 00:00:00,USA,USA,US,280.89,339.21,51.04,30.25,
2023-02-15 00:00:00,USA,USA,US,,,,,Data is not complete enough to be published.
2023-02-16 00:00:00,USA,USA,US,294.62,355.29,48.44,27.80,
2023-02-17 00:00:00,USA,USA,US,,,,,Data is not complete enough to be published.
2023-02-18 00:00:00,USA,USA,US,304.15,367.99,45.75,26.29,
2023-02-19 00:00:00,USA,USA,US,286.40,346.47,49.48,28.35,
2023-02-20 00:00:00,USA,USA,US,303.41,365.00,47.29,26.29,
2023-02-21 00:00:00,USA,USA,US,299.48,361.56,47.11,26.70,
2023-02-22 00:00:00,USA,USA,US,287.34,348.32,48.75,29.13,
2023-02-23 00:00:00,USA,USA,US,312.92,377.84,44.21,24.82,
2023-02-24 00:00:00,USA,USA,US,340.61,409.80,39.37,20.18,
2023-02-25 00:00:00,USA,USA,US,354.75,426.76,36.55,16.77,
2023-02-26 00:00:00,USA,USA,US,311.36,375.41,44.98,24.39,
2023-02-27 00:00:00,USA,USA,US,289.81,350.86,48.51,28.81,
